zeit,durchlauf,seed,score,zuege_pro_s,run_id,config
06:20:27,2,23,130.2,6223.5,dqn-20260725-061026,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""num_games"": 8}"
06:30:29,2,23,126.75,9545.1,dqn-20260725-062028,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""num_games"": 24}"
06:40:31,2,23,113.35,12137.4,dqn-20260725-063030,"{""perception"": ""rich"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7}"
06:50:32,2,23,118.35,10523.4,dqn-20260725-064032,"{""perception"": ""rich_grid5"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7}"
07:00:34,2,23,117.4,9505.8,dqn-20260725-065033,"{""perception"": ""rich_grid7"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7}"
07:10:36,2,23,123.9,9685.9,dqn-20260725-070035,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""reward_death"": -20.0}"
07:20:38,2,23,109.95,8844.9,dqn-20260725-071037,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 1, ""pfad_fokus"": 0.7}"
07:30:40,2,23,124.1,8105.4,dqn-20260725-072038,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 3, ""pfad_fokus"": 0.7}"
07:40:42,2,23,111.3,9601.5,dqn-20260725-073041,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.95}"
07:50:44,2,23,136.65,8602.8,dqn-20260725-074043,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
08:00:46,3,37,146.2,9261.1,dqn-20260725-075044,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
